,name,z,log_bh,log_lbol,log_edd_ratio,m_app_bol,m_app_lim,M_bol,M_abs_lim,dist,L_L
10284,SDSS J160602.17+074019.1,3.407,9.081,46.36600000000001,-0.815,20.174328298258462,22.844178319938575,-27.169850021680112,-25.64442869186226,29433.07682337253,0.6390304281269064
10285,SDSS J160602.58+113354.3,3.0210000000000004,8.355,46.239,-0.216,20.17940606097584,22.531756082655928,-26.85235002168009,-25.332006454579613,25488.907224065162,0.6385617567019389
10286,SDSS J160616.41+360847.3,3.636,8.82,46.483,-0.4370000000000001,20.050119923931703,23.01246994561179,-27.462350021680088,-25.812720317535476,31804.896682755447,0.6392614545888802
10287,SDSS J160618.16+235555.7,3.178,8.613,45.944,-0.769,21.048754853396062,22.66360487507616,-26.1148500216801,-25.463855246999845,27084.509505386523,0.6387661148114525
10288,SDSS J160623.31+181659.5,3.074,9.048,46.437,-0.711,19.729700964322134,22.57705098600222,-27.347350021680086,-25.377301357925905,26026.166103431442,0.6386330772026085
10289,SDSS J160625.72+175936.4,3.115,9.058,46.383,-0.775,19.89918369181252,22.611533713492623,-27.212350021680102,-25.411784085416308,26442.757529586503,0.6386865851851826
10290,SDSS J160630.55+424859.8,3.18,8.638,46.452,-0.286,19.780390173539377,22.665240195219464,-27.384850021680087,-25.46549056714315,27104.91433571841,0.6387685879678133
10291,SDSS J160633.06+341833.6,3.248,9.304,46.497,-0.907,19.72285993657879,22.72020995825888,-27.49735002168009,-25.520460330182566,27799.820494262065,0.6388508634930035
10292,SDSS J160639.08+340307.2,3.233,8.631,46.187,-0.544,20.48583844151606,22.708188463196144,-26.722350021680086,-25.50843883511983,27646.34304827281,0.6388330119334644
10293,SDSS J160639.73+242322.0,3.595,8.142000000000001,46.273,0.031,20.545819597610496,22.9831696192906,-26.937350021680103,-25.783419991214284,31378.626070586062,0.639222254410525
10294,SDSS J160642.67+391304.3,3.232,8.906,46.246,-0.76,20.337534934568964,22.707384956249065,-26.8698500216801,-25.50763532817275,27636.11500245612,0.6388318159392985
10295,SDSS J160648.93+474345.6,3.067,8.113999999999999,46.327,0.113,19.998765626215338,22.571115647895425,-27.072350021680087,-25.37136601981911,25955.12528656672,0.6386237987561154
10296,SDSS J160649.01+185845.4,3.0460000000000003,8.686,46.036,-0.75,20.70837424913869,22.553224270818784,-26.344850021680095,-25.35347464274247,25742.15222522757,0.6385957076120818
